1 2 222 0 22
1 3 99 100 29
1 4 110 100 24
1 5 33 100 10
1 6 18 12 8
1 7 16 27 45
1 8 26 38 18
1 9 25 100 6
1 10 52 100 24
1 11 51 83 23
1 12 75 36 10
1 13 13 82 5
1 14 87 78 11
1 15 95 100 5
1 16 33 57 20
1 17 30 14 5
1 18 60 65 4
1 19 29 73 6
1 20 31 39 6
1 21 13 98 5
1 22 18 52 3
1 23 18 49 6
1 24 3 88 4
1 25 22 100 7
1 26 6 42 3
1 27 9 12 7
1 28 54 65 6
1 29 11 25 6
1 30 26 19 3
1 31 6 61 6
1 32 0 52 4
1 33 0 10 5
1 34 6 61 4
1 35 14 13 3
1 36 0 96 5
1 37 27 87 4
1 38 32 39 4
1 39 1 12 5
1 40 0 53 2
1 41 9 40 3
1 42 20 100 4
1 43 42 100 4
1 44 10 28 3
1 45 15 20 3
1 46 5 0 10
1 47 39 83 10
1 48 5 56 2
1 49 5 49 2
1 50 4 70 2
1 51 21 16 2
1 52 5 25 2
1 53 7 100 2
1 54 12 64 2
1 55 0 17 2
1 56 0 100 2
1 57 49 0 22
1 58 1 37 3
1 59 0 40 2
1 60 2 48 4
1 61 2 36 3
1 62 2 40 3
1 63 5 0 6
1 64 3 60 3
1 65 3 35 3
1 66 2 62 4
1 67 2 17 6
1 68 4 100 4
1 69 3 65 5
1 70 3 47 2
1 71 0 32 3
1 72 0 83 6
1 73 1 72 3
1 74 0 100 2
1 75 5 79 4
1 76 0 33 5
1 77 0 57 3
1 78 0 52 2
1 79 0 24 2
1 80 1 100 5
1 81 9 45 4
1 82 18 100 9
1 83 6 59 3
1 84 16 28 5
1 85 11 40 3
1 86 27 20 3
1 87 5 100 5
1 88 0 94 4
1 89 6 0 4
1 90 8 34 4
1 91 2 14 5
1 92 0 39 2
1 93 0 20 3
1 94 0 0 2
1 95 0 35 4
1 96 22 49 3
1 97 1 0 5
1 98 15 29 5
1 99 1 43 5
1 100 0 25 6
1 101 0 100 6
1 102 4 94 6
1 103 6 89 4
1 104 8 100 6
1 105 1 100 4
1 106 4 42 4
1 107 1 49 3
1 108 1 100 5
1 109 0 56 4
1 110 10 54 2
1 111 1 37 3
1 112 6 100 4
1 113 0 20 3
1 114 18 100 17
1 115 3 100 3
1 116 4 11 5
1 117 2 31 2
1 118 10 85 6
1 119 0 47 3
1 120 2 32 2
1 121 22 73 1
1 122 3 100 2
1 123 0 20 2
1 124 0 44 2
1 125 0 45 2
1 125 6 38 50
1 126 0 100 4
1 127 0 52 2
1 128 2 41 6
1 129 0 4 3
1 130 7 100 5
1 131 1 0 4
1 132 2 23 3
1 133 0 13 2
1 134 0 53 3
1 135 6 40 19
1 136 5 4 4
1 137 6 25 4
1 138 3 20 3
1 139 0 16 4
1 140 0 19 3
1 141 0 10 4
1 142 5 41 5
1 143 0 7 4
1 144 5 100 4
1 145 4 0 3
1 146 2 25 4
1 147 2 41 4
1 148 4 32 3
1 149 3 79 4
1 150 2 2 2
2 3 105 0 25
2 4 145 0 17
2 5 57 0 10
2 6 29 0 7
2 7 21 0 14
2 8 44 0 11
2 9 30 0 6
2 10 42 0 14
2 11 50 0 9
2 12 82 0 10
2 13 11 0 6
2 14 98 0 8
2 15 97 0 1
2 16 39 0 9
2 17 23 0 3
2 18 56 0 1
2 19 40 0 7
2 20 54 0 6
2 21 20 0 3
2 22 22 0 6
2 23 23 0 4
2 24 8 0 3
